Order Date,Customer Name,Region,Category,Sales,Profit,Month,year
2019-02-02,Sanjit Engle,South,Office Supplies,36.4,18.2,2,2019
2019-02-02,Sanjit Engle,South,Furniture,18.69,7.1022,2,2019
2019-02-02,Noel Staavos,Central,Furniture,73.784,-77.4732,2,2019
2019-02-03,Liz Carlisle,South,Furniture,866.4,225.264,2,2019
2019-02-04,Tracy Blumstein,West,Furniture,14.368,3.9512,2,2019
2019-02-04,Maribeth Schnelling,East,Technology,90.48,23.5248,2,2019
2019-02-04,Jennifer Braxton,West,Office Supplies,93.02,3.7208,2,2019
2019-02-05,Paul Prost,South,Office Supplies,80.98,1.6196,2,2019
2019-02-05,Paul Prost,South,Office Supplies,348.84,170.9316,2,2019
2019-02-05,Paul Prost,South,Office Supplies,9.45,0.189,2,2019
2019-02-05,Paul Prost,South,Furniture,18.84,7.1592,2,2019
2019-02-05,Paul Prost,South,Furniture,239.98,52.7956,2,2019
2019-02-05,Paul Prost,South,Office Supplies,167.96,78.9412,2,2019
2019-02-05,Paul Prost,South,Technology,104.85,28.3095,2,2019
2019-02-05,Paul Prost,South,Technology,484.83,126.0558,2,2019
2019-02-05,Paul Prost,South,Office Supplies,122.97,60.2553,2,2019
2019-02-05,Paul Prost,South,Office Supplies,154.44,1.5444,2,2019
2019-02-05,Paul Prost,South,Office Supplies,342.37,160.9139,2,2019
2019-02-05,Annie Zypern,West,Office Supplies,14.73,7.2177,2,2019
2019-02-05,Annie Zypern,West,Office Supplies,186.54,50.3658,2,2019
2019-02-05,Annie Zypern,West,Furniture,557.728,6.9716,2,2019
2019-02-05,Annie Zypern,West,Technology,159.968,-31.9936,2,2019
2019-02-06,Karen Bern,South,Furniture,132.224,-18.1808,2,2019
2019-02-07,Christina Anderson,South,Technology,100.0,21.0,2,2019
2019-02-07,Christina Anderson,South,Office Supplies,7.83,3.6018,2,2019
2019-02-07,Bobby Elias,East,Office Supplies,30.352,10.6232,2,2019
2019-02-07,Erica Bern,West,Technology,623.96,38.9975,2,2019
2019-02-08,Cathy Hwang,South,Technology,1127.976,126.8973,2,2019
2019-02-08,Mark Haberlin,Central,Furniture,241.5,0.0,2,2019
2019-02-09,Justin Ritter,West,Technology,89.97,39.5868,2,2019
2019-02-09,Justin Ritter,West,Technology,31.86,11.151,2,2019
2019-02-11,Phillip Breyer,Central,Technology,69.93,0.6993,2,2019
2019-02-12,John Stevenson,South,Office Supplies,1350.12,175.5156,2,2019
2019-02-12,John Stevenson,South,Office Supplies,15.92,7.4824,2,2019
2019-02-13,Ross DeVincentis,West,Office Supplies,146.82,73.41,2,2019
2019-02-14,Dave Kipp,East,Office Supplies,4.77,2.1465,2,2019
2019-02-14,Dave Kipp,East,Office Supplies,7.98,2.0748,2,2019
2019-02-14,Dave Kipp,East,Furniture,550.431,-47.1798,2,2019
2019-02-14,Dave Kipp,East,Furniture,10.56,4.6464,2,2019
2019-02-14,Fred McMath,South,Office Supplies,264.18,68.6868,2,2019
2019-02-15,Patrick Gardner,East,Office Supplies,398.352,124.485,2,2019
2019-02-15,Patrick Gardner,East,Office Supplies,8.72,3.5752,2,2019
2019-02-16,Erin Ashbrook,Central,Office Supplies,92.064,-225.5568,2,2019
2019-02-16,Erin Ashbrook,Central,Office Supplies,6.976,1.8312,2,2019
2019-02-16,Erin Ashbrook,Central,Furniture,62.958,-2.6982,2,2019
2019-02-16,Erin Ashbrook,Central,Office Supplies,5.184,1.8144,2,2019
2019-02-16,John Dryer,East,Furniture,227.96,36.4736,2,2019
2019-02-16,Giulietta Weimer,South,Furniture,318.08,34.9888,2,2019
2019-02-16,Giulietta Weimer,South,Office Supplies,5.8,2.61,2,2019
2019-02-16,Jill Fjeld,East,Furniture,326.646,39.9234,2,2019
2019-02-16,Jill Fjeld,East,Technology,89.97,39.5868,2,2019
2019-02-19,Greg Tran,East,Furniture,44.46,14.6718,2,2019
2019-02-19,Greg Tran,East,Office Supplies,242.94,9.7176,2,2019
2019-02-19,Cyma Kinney,East,Office Supplies,8.67,4.0749,2,2019
2019-02-19,Cyma Kinney,East,Office Supplies,25.71,6.6846,2,2019
2019-02-19,Greg Tran,West,Office Supplies,70.88,33.3136,2,2019
2019-02-20,Alan Hwang,South,Office Supplies,16.496,5.5674,2,2019
2019-02-21,Matthew Clasen,West,Technology,12.99,0.7794,2,2019
2019-02-21,Matthew Clasen,West,Office Supplies,18.56,6.496,2,2019
2019-02-21,Matthew Clasen,West,Office Supplies,449.15,8.983,2,2019
2019-02-21,Matthew Clasen,West,Office Supplies,31.248,10.9368,2,2019
2019-02-21,Benjamin Venier,East,Furniture,68.95,28.959,2,2019
2019-02-21,Benjamin Venier,East,Office Supplies,296.37,80.0199,2,2019
2019-02-21,Benjamin Venier,East,Technology,39.98,1.999,2,2019
2019-02-21,Lindsay Castell,South,Office Supplies,3.762,-2.7588,2,2019
2019-02-21,Lindsay Castell,South,Office Supplies,34.86,-26.726,2,2019
2019-02-21,Lindsay Castell,South,Office Supplies,432.456,32.4342,2,2019
2019-02-21,Erin Ashbrook,East,Furniture,135.8,66.542,2,2019
2019-02-22,Paul Van Hugh,Central,Office Supplies,490.32,137.2896,2,2019
2019-02-22,Tracy Zic,West,Technology,445.96,55.745,2,2019
2019-02-22,Tracy Zic,West,Technology,36.24,15.2208,2,2019
2019-02-22,Tracy Zic,West,Office Supplies,10.65,5.0055,2,2019
2019-02-23,Alyssa Crouse,East,Office Supplies,57.576,21.591,2,2019
2019-02-25,Bruce Degenhardt,East,Office Supplies,46.72,17.52,2,2019
2019-02-27,Dan Lawera,East,Office Supplies,170.88,49.5552,2,2019
2019-02-27,Eric Barreto,Central,Office Supplies,56.82,28.41,2,2019
2019-02-27,Don Weiss,Central,Furniture,16.192,-6.8816,2,2019
2019-02-28,Lena Cacioppo,East,Office Supplies,111.104,8.3328,2,2019
2019-02-28,Rick Reed,East,Office Supplies,36.48,18.24,2,2019
2019-03-01,Karen Daniels,East,Furniture,836.592,-264.9208,3,2019
2019-03-01,Karen Daniels,East,Office Supplies,26.38,12.1348,3,2019
2019-03-01,Karen Daniels,East,Office Supplies,362.92,105.2468,3,2019
2019-03-01,Karen Daniels,East,Technology,4899.93,2400.9657,3,2019
2019-03-01,Odella Nelson,West,Technology,159.984,13.9986,3,2019
2019-03-03,Brosina Hoffman,East,Office Supplies,447.86,219.4514,3,2019
2019-03-03,Brosina Hoffman,East,Technology,479.95,129.5865,3,2019
2019-03-03,Brosina Hoffman,East,Office Supplies,166.44,79.8912,3,2019
2019-03-03,Jason Gross,Central,Office Supplies,42.784,15.5092,3,2019
2019-03-03,Jason Gross,Central,Furniture,563.43,-56.343,3,2019
2019-03-03,Craig Carreira,Central,Technology,134.85,37.758,3,2019
2019-03-03,Chris Cortes,Central,Furniture,637.896,-127.5792,3,2019
2019-03-03,Chris Cortes,Central,Technology,287.91,33.5895,3,2019
2019-03-03,Chris Cortes,Central,Office Supplies,36.6,11.895,3,2019
2019-03-03,Theresa Swint,West,Office Supplies,25.35,7.605,3,2019
2019-03-03,Theresa Swint,West,Furniture,35.28,11.9952,3,2019
2019-03-03,Alex Avila,Central,Office Supplies,3930.072,-786.0144,3,2019
2019-03-03,Alex Avila,Central,Office Supplies,2.304,0.7776,3,2019
2019-03-03,Alex Avila,Central,Technology,431.976,32.3982,3,2019
2019-03-03,Alex Avila,Central,Technology,41.72,5.7365,3,2019
2019-03-04,Michael Granlund,West,Office Supplies,16.99,4.9271,3,2019
2019-03-04,Randy Ferguson,South,Office Supplies,10.08,3.528,3,2019
2019-03-04,Rick Duston,Central,Office Supplies,128.4,64.2,3,2019
2019-03-04,Eleni McCrary,East,Technology,159.98,57.5928,3,2019
2019-03-05,Rob Williams,Central,Office Supplies,149.352,50.4063,3,2019
2019-03-05,Rob Williams,Central,Office Supplies,12.992,-0.812,3,2019
2019-03-06,Julia Barnett,East,Technology,431.94,-71.99,3,2019
2019-03-06,Julia Barnett,East,Office Supplies,2.043,-1.4982,3,2019
2019-03-06,Julia Barnett,East,Technology,68.238,-12.5103,3,2019
2019-03-06,Lena Cacioppo,Central,Office Supplies,2.334,-6.3018,3,2019
2019-03-06,Lena Cacioppo,Central,Office Supplies,1.728,-2.7648,3,2019
2019-03-06,Lena Cacioppo,Central,Furniture,159.04,-194.824,3,2019
2019-03-06,Lena Cacioppo,Central,Furniture,145.98,-99.2664,3,2019
2019-03-07,Ed Braxton,Central,Technology,21.072,1.5804,3,2019
2019-03-08,Zuschuss Carroll,South,Technology,1363.96,85.2475,3,2019
2019-03-08,Zuschuss Carroll,South,Furniture,102.36,-3.8385,3,2019
2019-03-08,Patrick Gardner,West,Office Supplies,9.702,-7.1148,3,2019
2019-03-08,Brian DeCherney,East,Technology,108.576,-25.3344,3,2019
2019-03-08,Brian DeCherney,East,Office Supplies,5.984,-1.3464,3,2019
2019-03-08,Giulietta Baptist,East,Furniture,113.6,44.304,3,2019
2019-03-08,Giulietta Baptist,East,Office Supplies,12.96,6.3504,3,2019
2019-03-08,Giulietta Baptist,East,Office Supplies,69.456,22.5732,3,2019
2019-03-08,Sanjit Jacobs,Central,Office Supplies,8.856,-14.1696,3,2019
2019-03-08,Sanjit Jacobs,Central,Technology,27.96,8.388,3,2019
2019-03-08,Sanjit Jacobs,Central,Office Supplies,146.352,49.3938,3,2019
2019-03-08,Stephanie Phelps,Central,Office Supplies,207.144,48.3336,3,2019
2019-03-08,Stephanie Phelps,Central,Office Supplies,13.9,3.753,3,2019
2019-03-09,Rick Bensley,East,Technology,199.75,87.89,3,2019
2019-03-09,Pamela Stobb,East,Office Supplies,11.21,3.363,3,2019
2019-03-09,Pamela Stobb,East,Furniture,354.9,88.725,3,2019
2019-03-09,Pamela Stobb,East,Office Supplies,17.94,8.7906,3,2019
2019-03-09,Pamela Stobb,East,Office Supplies,51.8,23.31,3,2019
2019-03-10,Caroline Jumper,East,Furniture,176.784,-22.098,3,2019
2019-03-10,Bryan Davis,East,Technology,39.992,7.4985,3,2019
2019-03-10,Karen Ferguson,West,Office Supplies,14.9,7.152,3,2019
2019-03-10,Karen Ferguson,West,Technology,4158.912,363.9048,3,2019
2019-03-10,Rick Huthwaite,West,Technology,26.85,5.1015,3,2019
2019-03-10,Rick Huthwaite,West,Technology,3357.6,377.73,3,2019
2019-03-10,Maya Herman,West,Office Supplies,104.696,6.5435,3,2019
2019-03-11,Odella Nelson,Central,Technology,45.98,19.7714,3,2019
2019-03-11,Odella Nelson,Central,Office Supplies,17.46,8.2062,3,2019
2019-03-11,Mick Brown,East,Furniture,244.006,-31.3722,3,2019
2019-03-11,Julie Prescott,South,Furniture,76.92,31.5372,3,2019
2019-03-11,Julie Prescott,South,Office Supplies,481.32,125.1432,3,2019
2019-03-11,Brad Thomas,East,Furniture,30.336,9.48,3,2019
2019-03-12,Mike Caudle,South,Office Supplies,12.96,6.2208,3,2019
2019-03-12,Clytie Kelty,East,Office Supplies,29.34,13.4964,3,2019
2019-03-12,Dean Katz,West,Office Supplies,676.55,6.7655,3,2019
2019-03-12,Dean Katz,West,Office Supplies,154.9,40.274,3,2019
2019-03-12,Dean Katz,West,Office Supplies,30.56,14.9744,3,2019
2019-03-12,Dean Katz,West,Furniture,770.352,77.0352,3,2019
2019-03-12,Scot Wooten,West,Office Supplies,19.98,8.991,3,2019
2019-03-13,Tamara Willingham,West,Office Supplies,157.92,17.766,3,2019
2019-03-13,Tamara Willingham,West,Technology,203.184,15.2388,3,2019
2019-03-13,Liz Thompson,Central,Office Supplies,70.08,24.528,3,2019
2019-03-13,Liz Thompson,Central,Office Supplies,1.272,-2.1624,3,2019
2019-03-13,Liz Thompson,Central,Furniture,557.585,0.0,3,2019
2019-03-13,Adam Bellavance,South,Furniture,127.88,40.9216,3,2019
2019-03-13,Adam Bellavance,South,Office Supplies,160.32,44.8896,3,2019
2019-03-13,Adam Bellavance,South,Office Supplies,46.0,20.7,3,2019
2019-03-13,Edward Hooks,West,Furniture,28.28,7.3528,3,2019
2019-03-13,Edward Hooks,West,Office Supplies,4912.59,196.5036,3,2019
2019-03-13,Stewart Carmichael,East,Furniture,386.68,-5.524,3,2019
2019-03-13,Stewart Carmichael,East,Technology,379.96,47.495,3,2019
2019-03-13,Stewart Carmichael,East,Technology,539.91,-116.9805,3,2019
2019-03-13,Stewart Carmichael,East,Office Supplies,41.24,13.9185,3,2019
2019-03-13,Stewart Carmichael,East,Office Supplies,51.897,-41.5176,3,2019
2019-03-13,Stewart Carmichael,East,Office Supplies,552.56,-138.14,3,2019
2019-03-13,Stewart Carmichael,East,Office Supplies,23.16,-15.44,3,2019
2019-03-13,Stewart Carmichael,East,Office Supplies,126.08,-28.368,3,2019
2019-03-13,Stewart Carmichael,East,Technology,449.1,-643.71,3,2019
2019-03-13,Dennis Bolton,West,Office Supplies,51.184,19.194,3,2019
2019-03-14,Henia Zydlo,East,Furniture,21.88,6.2905,3,2019
2019-03-14,John Stevenson,Central,Furniture,241.332,-14.196,3,2019
2019-03-14,John Stevenson,Central,Office Supplies,5.184,1.8792,3,2019
2019-03-14,John Stevenson,Central,Office Supplies,145.544,16.3737,3,2019
2019-03-14,Muhammed MacIntyre,West,Furniture,196.784,-22.1382,3,2019
2019-03-14,Stephanie Phelps,West,Office Supplies,41.904,14.1426,3,2019
2019-03-14,Sibella Parks,Central,Furniture,16.74,4.3524,3,2019
2019-03-15,Paul Lucas,East,Technology,83.976,-13.6461,3,2019
2019-03-15,Fred Chung,West,Office Supplies,4.544,1.6472,3,2019
2019-03-15,Fred Chung,West,Furniture,1352.032,84.502,3,2019
2019-03-15,Sanjit Jacobs,South,Office Supplies,319.76,147.0896,3,2019
2019-03-15,Sanjit Jacobs,South,Office Supplies,45.68,21.0128,3,2019
2019-03-15,Muhammed Yedwab,Central,Furniture,528.43,-143.431,3,2019
2019-03-15,Muhammed Yedwab,Central,Office Supplies,22.386,-35.8176,3,2019
2019-03-17,Christine Sundaresam,East,Office Supplies,39.68,10.3168,3,2019
2019-03-17,Vivian Mathis,East,Technology,129.98,62.3904,3,2019
2019-03-17,Vivian Mathis,East,Office Supplies,32.54,15.9446,3,2019
2019-03-17,Gary Zandusky,East,Office Supplies,199.9,89.955,3,2019
2019-03-17,Gary Zandusky,East,Office Supplies,901.95,297.6435,3,2019
2019-03-17,Gary Zandusky,East,Furniture,971.5,252.59,3,2019
2019-03-17,Anna Chung,West,Technology,84.784,-20.1362,3,2019
2019-03-18,Rose O'Brian,South,Furniture,189.882,-94.941,3,2019
2019-03-18,Dave Brooks,South,Office Supplies,871.8,87.18,3,2019
2019-03-19,Bobby Trafton,West,Furniture,72.294,-98.8018,3,2019
2019-03-19,Susan Vittorini,East,Furniture,14.98,6.8908,3,2019
2019-03-19,Susan Vittorini,East,Furniture,20.32,6.9088,3,2019
2019-03-19,Corey Catlett,South,Office Supplies,31.086,-20.724,3,2019
2019-03-20,Zuschuss Carroll,West,Technology,84.784,-20.1362,3,2019
2019-03-20,Zuschuss Carroll,West,Office Supplies,20.736,7.2576,3,2019
2019-03-20,Zuschuss Carroll,West,Office Supplies,16.821,-12.8961,3,2019
2019-03-20,Zuschuss Carroll,West,Office Supplies,10.368,3.6288,3,2019
2019-03-20,Peter Bühler,Central,Technology,11.992,0.8994,3,2019
2019-03-20,Robert Dilbeck,Central,Furniture,697.16,146.4036,3,2019
2019-03-20,Aaron Hawkins,South,Furniture,86.45,38.038,3,2019
2019-03-21,Kean Takahito,Central,Office Supplies,3.168,-4.752,3,2019
2019-03-21,Kean Takahito,Central,Furniture,528.43,0.0,3,2019
2019-03-21,Kean Takahito,Central,Office Supplies,13.392,1.5066,3,2019
2019-03-21,Dario Medina,Central,Furniture,99.372,-1.4196,3,2019
2019-03-21,Dario Medina,Central,Office Supplies,1.344,0.504,3,2019
2019-03-22,Robert Barroso,West,Technology,58.58,19.3314,3,2019
2019-03-22,Marc Crier,West,Furniture,167.888,14.6902,3,2019
2019-03-24,Dan Reichenbach,West,Technology,403.168,25.198,3,2019
2019-03-24,Vivek Grady,Central,Office Supplies,22.48,10.3408,3,2019
2019-03-24,Dan Campbell,East,Furniture,301.47,-241.176,3,2019
2019-03-24,Dan Campbell,East,Office Supplies,18.656,1.6324,3,2019
2019-03-25,Toby Braunhardt,Central,Technology,1287.45,244.6155,3,2019
2019-03-25,Damala Kotsonis,East,Office Supplies,59.52,17.856,3,2019
2019-03-26,Sibella Parks,East,Office Supplies,459.95,18.398,3,2019
2019-03-26,Dean Braden,South,Office Supplies,67.64,5.9185,3,2019
2019-03-26,Dean Braden,South,Technology,119.976,-17.9964,3,2019
2019-03-26,Mark Van Huff,West,Office Supplies,17.64,8.6436,3,2019
2019-03-26,Mark Van Huff,West,Office Supplies,17.04,5.538,3,2019
2019-03-27,David Smith,South,Furniture,20.24,8.7032,3,2019
2019-03-27,David Smith,South,Furniture,39.92,11.1776,3,2019
2019-03-27,David Smith,South,Office Supplies,32.54,15.9446,3,2019
2019-03-28,Aaron Smayling,South,Office Supplies,31.4,7.85,3,2019
2019-03-28,Chris Cortes,West,Office Supplies,87.92,0.8792,3,2019
2019-03-28,Chris Cortes,West,Office Supplies,5.98,2.9302,3,2019
2019-03-29,Maria Etezadi,Central,Office Supplies,45.528,15.9348,3,2019
2019-03-29,Maria Etezadi,Central,Furniture,844.116,-36.1764,3,2019
2019-03-29,Maria Etezadi,Central,Technology,812.736,60.9552,3,2019
2019-03-29,Janet Martin,East,Office Supplies,13.48,6.74,3,2019
2019-03-29,Janet Martin,East,Office Supplies,29.8,9.3125,3,2019
2019-03-29,Janet Martin,East,Furniture,414.0,124.2,3,2019
2019-03-29,Janet Martin,East,Office Supplies,41.328,14.9814,3,2019
2019-03-29,Troy Blackwell,East,Furniture,299.975,-167.986,3,2019
2019-03-29,Troy Blackwell,East,Technology,158.376,-36.9544,3,2019
2019-03-30,Cathy Prescott,East,Office Supplies,11.34,5.5566,3,2019
2019-03-31,Carlos Soltero,East,Technology,280.782,-60.8361,3,2019
2019-03-31,Carlos Soltero,East,Technology,31.984,1.1994,3,2019
2019-03-31,Erica Hackney,East,Furniture,327.996,54.666,3,2019
2019-04-01,Raymond Buch,East,Office Supplies,59.52,15.4752,4,2019
2019-04-01,Raymond Buch,East,Office Supplies,161.94,9.7164,4,2019
2019-04-01,Raymond Buch,East,Office Supplies,263.88,71.2476,4,2019
2019-04-01,Raymond Buch,East,Office Supplies,30.48,7.9248,4,2019
2019-04-01,Raymond Buch,East,Office Supplies,9.84,2.8536,4,2019
2019-04-01,Raymond Buch,East,Technology,35.12,9.1312,4,2019
2019-04-01,Barry Blumstein,West,Office Supplies,31.56,9.8625,4,2019
2019-04-01,Barry Blumstein,West,Office Supplies,30.144,3.0144,4,2019
2019-04-01,Don Weiss,East,Office Supplies,88.04,22.8904,4,2019
2019-04-01,Thomas Boland,East,Office Supplies,20.7,9.936,4,2019
2019-04-01,Thomas Boland,East,Office Supplies,10.95,3.285,4,2019
2019-04-01,Thomas Boland,East,Office Supplies,14.352,4.6644,4,2019
2019-04-01,Frank Preis,East,Furniture,1317.492,292.776,4,2019
2019-04-01,Frank Preis,East,Office Supplies,63.84,18.5136,4,2019
2019-04-01,Frank Preis,East,Office Supplies,3.592,1.1225,4,2019
2019-04-01,Daniel Byrd,South,Furniture,7.04,3.0976,4,2019
2019-04-01,Muhammed Yedwab,Central,Technology,12.99,0.2598,4,2019
2019-04-02,Denny Joy,Central,Furniture,1454.9,378.274,4,2019
2019-04-03,Carlos Soltero,East,Office Supplies,99.846,-83.205,4,2019
2019-04-03,Zuschuss Donatelli,Central,Furniture,71.12,22.0472,4,2019
2019-04-03,Zuschuss Donatelli,Central,Technology,259.96,124.7808,4,2019
2019-04-03,Steven Roelle,Central,Office Supplies,10.272,3.21,4,2019
2019-04-04,Maria Etezadi,South,Technology,149.97,5.9988,4,2019
2019-04-04,Maria Etezadi,South,Office Supplies,27.81,13.0707,4,2019
2019-04-04,Evan Henry,East,Office Supplies,588.784,183.995,4,2019
2019-04-04,Becky Castell,East,Furniture,82.64,7.4376,4,2019
2019-04-04,Becky Castell,East,Office Supplies,31.02,8.0652,4,2019
2019-04-04,Becky Castell,East,Technology,89.97,37.7874,4,2019
2019-04-05,Gary Mitchum,Central,Office Supplies,158.368,13.8572,4,2019
2019-04-05,Justin Hirsh,East,Technology,118.782,-27.7158,4,2019
2019-04-05,Justin Hirsh,East,Office Supplies,769.184,-163.4516,4,2019
2019-04-06,Valerie Mitchum,East,Technology,1294.75,336.635,4,2019
2019-04-07,Yoseph Carroll,West,Technology,1199.976,374.9925,4,2019
2019-04-07,Dorris liebe,East,Furniture,658.746,146.388,4,2019
2019-04-07,Sarah Foster,East,Office Supplies,3.64,0.9828,4,2019
